timestamp,open,high,low,close,volume
2026-09-01T09:15:00+05:30,265.65,266.75,265.50,266.75,3243023
2026-09-01T09:45:00+05:30,266.75,266.85,265.40,266.80,2667897
2026-09-01T10:15:00+05:30,266.80,267.35,266.60,266.70,1056939
2026-09-01T10:45:00+05:30,266.70,267.00,266.50,266.65,773016
2026-09-01T11:15:00+05:30,266.65,267.10,266.45,267.05,1167367
2026-09-01T11:45:00+05:30,267.05,268.45,267.05,268.15,1158686
2026-09-01T12:15:00+05:30,268.15,268.15,267.45,267.50,938083
2026-09-01T12:45:00+05:30,267.50,268.20,267.40,267.55,1220485
2026-09-01T13:15:00+05:30,267.55,267.80,267.10,267.65,998432
2026-09-01T13:45:00+05:30,267.65,267.65,266.80,267.40,1427748
2026-09-01T14:15:00+05:30,267.40,267.40,266.10,266.20,1808550
2026-09-01T14:45:00+05:30,266.20,266.20,264.75,264.80,1863243
2026-09-01T15:15:00+05:30,264.80,265.20,264.60,264.85,1258038
2026-09-02T09:15:00+05:30,265.15,268.00,265.15,267.95,2241551
2026-09-02T09:45:00+05:30,267.95,268.40,266.95,267.00,1718887
2026-09-02T10:15:00+05:30,267.00,267.00,266.00,266.25,1363398
2026-09-02T10:45:00+05:30,266.25,266.65,266.00,266.00,670084
2026-09-02T11:15:00+05:30,266.00,266.45,265.80,266.20,864796
2026-09-02T11:45:00+05:30,266.20,266.25,266.05,266.20,579117
2026-09-02T12:15:00+05:30,266.20,267.00,266.20,266.75,649062
2026-09-02T12:45:00+05:30,266.75,267.05,265.95,266.00,786054
2026-09-02T13:15:00+05:30,266.00,266.60,265.45,265.45,524352
2026-09-02T13:45:00+05:30,265.45,266.10,265.35,266.05,861285
2026-09-02T14:15:00+05:30,266.05,267.25,265.65,266.95,1231834
2026-09-02T14:45:00+05:30,266.95,267.10,265.95,266.25,1195081
2026-09-02T15:15:00+05:30,266.25,267.40,266.25,267.00,1277078
2026-09-03T09:15:00+05:30,267.70,267.70,266.40,266.60,3554945
2026-09-03T09:45:00+05:30,266.60,268.30,266.60,267.70,2052077
2026-09-03T10:15:00+05:30,267.70,268.20,267.60,267.60,1333957
2026-09-03T10:45:00+05:30,267.60,267.75,267.45,267.60,930958
2026-09-03T11:15:00+05:30,267.60,267.60,266.95,267.45,816810
2026-09-03T11:45:00+05:30,267.45,268.40,267.45,268.40,1307870
2026-09-03T12:15:00+05:30,268.40,268.90,267.95,268.90,654951
2026-09-03T12:45:00+05:30,268.90,268.90,267.60,267.80,1241446
2026-09-03T13:15:00+05:30,267.80,268.05,267.35,268.00,1038538
2026-09-03T13:45:00+05:30,268.00,268.50,268.00,268.25,1535581
2026-09-03T14:15:00+05:30,268.25,269.00,268.15,269.00,1465865
2026-09-03T14:45:00+05:30,269.00,269.15,268.20,268.20,2362014
2026-09-03T15:15:00+05:30,268.20,268.55,267.85,267.90,1797346
2026-09-04T09:15:00+05:30,265.85,267.25,265.50,267.20,2773518
2026-09-04T09:45:00+05:30,267.20,268.20,267.20,268.20,1671055
2026-09-04T10:15:00+05:30,268.20,268.95,267.95,268.10,1185882
2026-09-04T10:45:00+05:30,268.10,268.90,268.00,268.85,1497073
2026-09-04T11:15:00+05:30,268.85,269.20,268.65,268.65,605169
2026-09-04T11:45:00+05:30,268.65,268.75,268.30,268.45,722617
2026-09-04T12:15:00+05:30,268.45,268.45,267.80,267.85,1071196
2026-09-04T12:45:00+05:30,267.85,268.05,267.30,267.95,1130759
2026-09-04T13:15:00+05:30,267.95,268.25,267.15,267.70,842686
2026-09-04T13:45:00+05:30,267.70,268.75,267.55,268.70,1142772
2026-09-04T14:15:00+05:30,268.70,270.65,268.70,270.65,1687857
2026-09-04T14:45:00+05:30,270.65,270.65,269.50,269.95,1411553
2026-09-04T15:15:00+05:30,269.95,271.05,269.95,270.55,1670846
2026-09-07T09:15:00+05:30,269.45,269.45,268.25,268.70,1583072
2026-09-07T09:45:00+05:30,268.70,268.70,267.45,267.50,1333205
2026-09-07T10:15:00+05:30,267.50,267.70,267.40,267.40,735146
2026-09-07T10:45:00+05:30,267.40,268.20,267.00,268.00,517558
2026-09-07T11:15:00+05:30,268.00,268.45,267.50,267.55,653139
2026-09-07T11:45:00+05:30,267.55,267.85,267.40,267.50,544126
2026-09-07T12:15:00+05:30,267.50,268.00,267.50,267.85,528063
2026-09-07T12:45:00+05:30,267.85,267.85,267.25,267.55,647929
2026-09-07T13:15:00+05:30,267.55,267.55,266.10,266.15,1181386
2026-09-07T13:45:00+05:30,266.15,267.10,266.15,266.50,737674
2026-09-07T14:15:00+05:30,266.50,267.65,266.50,266.75,1031264
2026-09-07T14:45:00+05:30,266.75,267.95,266.00,266.05,1092288
2026-09-07T15:15:00+05:30,266.05,266.20,265.35,266.10,1329091
2026-09-08T09:15:00+05:30,265.80,266.80,265.80,266.80,2288564
2026-09-08T09:45:00+05:30,266.80,268.05,266.60,268.05,1596695
2026-09-08T10:15:00+05:30,268.05,269.15,268.05,268.75,978741
2026-09-08T10:45:00+05:30,268.75,269.40,268.50,269.25,829785
2026-09-08T11:15:00+05:30,269.25,269.70,269.20,269.60,884660
2026-09-08T11:45:00+05:30,269.60,269.95,269.50,269.85,884692
2026-09-08T12:15:00+05:30,269.85,270.40,269.55,269.90,473609
2026-09-08T12:45:00+05:30,269.90,270.40,269.90,270.35,594251
2026-09-08T13:15:00+05:30,270.35,270.60,270.00,270.05,848056
